,headline,date,year exp,score,pros,cons,company,position,raw_reviews,Introvert_Extrovert,Intuition_Sensing,Thinking_Feeling,Judging_Perceiving,Innovative_Traditional,Personality,reviews,emotions,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,is_exclusive,is_open,exclusive_openness
1019,BDM,2019-09-30,Former Employee,3,"Worklife balance, and other perks",Too siloed. Departments working on their own.,American Express, Anonymous Employee,"Worklife balance, and other perksToo siloed. Departments working on their own.",Introvert,Sensing,Feeling,Judging,traditional,ISJF,worklife balance perkstoo siloed departments working own,"{'Positive': 0, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 1, 'Surprise': 0, 'Trust': 0}",0,0,0,1,0,0,0,1,0,0,0,1,Open
1020,nice work environment,2019-08-01,"Former Employee, more than 3 years",5,very good company to work with. cool working environment,"working in night shifts , rotational shifts",American Express, Anonymous Employee,"very good company to work with. cool working environmentworking in night shifts , rotational shifts",Extrovert,Sensing,Feeling,Perceiving,traditional,ESPF,good company work with cool working environmentworking night shifts  rotational shifts,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}",2,0,0,1,0,0,1,0,1,1,0,3,Open
1021,"Great company to work for, especially those with families",2019-06-13,"Former Employee, more than 3 years",5,"Work life balance (good for those with families or young kids ), good benefits such as annual leave and budget for teams’ gathering","Little progression , takes many years to get promoted",American Express, Anonymous Employee,"Work life balance (good for those with families or young kids ), good benefits such as annual leave and budget for teams’ gatheringLittle progression , takes many years to get promoted",Introvert,Sensing,Thinking,Perceiving,traditional,ISPT,work life balance good families young kids  good benefits annual leave budget teams gatheringlittle progression  takes many years get promoted,"{'Positive': 5, 'Negative': 0, 'Anger': 0, 'Anticipation': 4, 'Disgust': 0, 'Fear': 0, 'Joy': 4, 'Sadness': 0, 'Surprise': 3, 'Trust': 4}",5,0,0,4,0,0,4,0,3,4,0,12,Open
1022,Business Developement Manager for FXIP,2019-06-11,Current Employee,5,Great work environment and bosses,Salary increment and incentive programmes not attractive,American Express, Anonymous Employee,Great work environment and bossesSalary increment and incentive programmes not attractive,Introvert,Sensing,Thinking,Judging,traditional,ISJT,great work environment bossessalary increment incentive programmes attractive,"{'Positive': 1, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",1,0,0,0,0,0,0,0,0,0,0,0,Open
1023,Senior manager,2019-05-26,Former Employee,5,Great corporate culture and respect for employees,"Slow in execution, not keeping up with the changes in the industry",American Express, Anonymous Employee,"Great corporate culture and respect for employeesSlow in execution, not keeping up with the changes in the industry",Extrovert,Sensing,Thinking,Judging,innovative,ESJT,great corporate culture respect employeesslow execution keeping changes industry,"{'Positive': 1, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 0, 'Trust': 1}",1,0,0,1,0,0,1,0,0,1,0,3,Open
1024,Bdm,2019-04-29,Current Employee,3,Flexible hours and have family time,Politics bias unfair favouritism no leadership,American Express, Anonymous Employee,Flexible hours and have family timePolitics bias unfair favouritism no leadership,Extrovert,Sensing,Thinking,Judging,traditional,ESJT,flexible hours family timepolitics bias unfair favouritism leadership,"{'Positive': 0, 'Negative': 2, 'Anger': 2, 'Anticipation': 0, 'Disgust': 1, 'Fear': 0, 'Joy': 0, 'Sadness': 1, 'Surprise': 0, 'Trust': 0}",0,2,2,0,1,0,0,1,0,0,3,0,Exclusive
1025,Good culture,2019-04-03,Former Employee,4,Good work life balance here,Politics and slackers. Commonly seen at most place,American Express, Manager,Good work life balance herePolitics and slackers. Commonly seen at most place,Extrovert,Sensing,Thinking,Perceiving,traditional,ESPT,good work life balance herepolitics slackers commonly seen place,"{'Positive': 1, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}",1,0,0,1,0,0,1,0,1,1,0,3,Open
1026,Great place to work,2019-03-10,"Former Employee, more than 8 years",4,"work life balance, pay, relocation",growth opportunities in asia are limited,American Express, Senior Manager,"work life balance, pay, relocationgrowth opportunities in asia are limited",Introvert,Intuition,Thinking,Perceiving,innovative,INPT,work life balance pay relocationgrowth opportunities asia limited,"{'Positive': 1, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 0, 'Trust': 1}",1,0,0,1,0,0,1,0,0,1,0,3,Open
1027,Senior Business Manager,2019-03-09,Current Employee,2,"great employee benefit, great working office",Micro managing and confusing management direction,American Express, Anonymous Employee,"great employee benefit, great working officeMicro managing and confusing management direction",Extrovert,Sensing,Thinking,Judging,innovative,ESJT,great employee benefit great working officemicro managing confusing management direction,"{'Positive': 1, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",1,0,0,0,0,0,0,0,0,0,0,0,Open
1028,Company you will regret leaving (for the people),2019-02-14,"Former Employee, more than 3 years",4,"- Super family-like environment whereby everyone is friendly with each other and you know everyone in office
- Open to new ideas
- Flat structure, no barrier to higher ups (VP or country manager)","- Low salary compared to market rate
- Low increment year on year
- Lack of advancement opportunities",American Express, Anonymous Employee,"- Super family-like environment whereby everyone is friendly with each other and you know everyone in office
- Open to new ideas
- Flat structure, no barrier to higher ups (VP or country manager)- Low salary compared to market rate
- Low increment year on year
- Lack of advancement opportunities",Extrovert,Intuition,Thinking,Judging,innovative,ENJT, super familylike environment whereby everyone friendly know everyone office  open new ideas  flat structure barrier higher ups vp country manager low salary compared market rate  low increment year year  lack advancement opportunities,"{'Positive': 2, 'Negative': 2, 'Anger': 1, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 0, 'Trust': 1}",2,2,1,0,0,0,1,0,0,1,1,2,Open
1029,Great Company,2019-01-07,Current Employee,5,"Great Company, Good Benefits, Great Fun & Open Culture",Constant restructuring,American Express, ,"Great Company, Good Benefits, Great Fun & Open CultureConstant restructuring",Extrovert,Sensing,Thinking,Perceiving,traditional,ESPT,great company good benefits great fun  open cultureconstant restructuring,"{'Positive': 3, 'Negative': 0, 'Anger': 0, 'Anticipation': 2, 'Disgust': 0, 'Fear': 0, 'Joy': 2, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}",3,0,0,2,0,0,2,0,1,1,0,5,Open
1030,"Great environment, interesting leadership",2019-01-16,"Current Employee, more than 3 years",4,"Recognition are based on merit, also highly depend on what's your 'perceived' personal brand.","At a very junior level, salary package can be a concern. Leadership from the top management can be very confusing and not transparent and one directional- very top down.",American Express, Manager,"Recognition are based on merit, also highly depend on what's your 'perceived' personal brand.At a very junior level, salary package can be a concern. Leadership from the top management can be very confusing and not transparent and one directional- very top down.",Extrovert,Intuition,Thinking,Judging,traditional,ENJT,recognition based merit also highly depend whats perceived personal brandat junior level salary package concern leadership top management confusing transparent one directional top down,"{'Positive': 4, 'Negative': 0, 'Anger': 0, 'Anticipation': 3, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 6}",4,0,0,3,0,0,0,0,0,6,0,9,Open
1031,Intern,2018-12-17,Former Employee,5,"Great place to work, learn and innovate",Can offer better projects to interns,American Express, ,"Great place to work, learn and innovateCan offer better projects to interns",Extrovert,Sensing,Feeling,Judging,traditional,ESJF,great place work learn innovatecan offer better projects interns,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",2,0,0,0,0,0,0,0,0,0,0,0,Open
1032,10 years in Amex Singapore. Great company and culture in some departments. Limited career prospects,2018-10-06,"Former Employee, more than 10 years",4,Friendly and amicable environment.  Well compensated. Good work life balance.,Limited career growth. Too many foreign talents. Few personal growth opportunities for locals.,American Express, Anonymous Employee,Friendly and amicable environment.  Well compensated. Good work life balance.Limited career growth. Too many foreign talents. Few personal growth opportunities for locals.,Introvert,Intuition,Thinking,Judging,traditional,INJT,friendly amicable environment well compensated good work life balancelimited career growth many foreign talents personal growth opportunities locals,"{'Positive': 7, 'Negative': 1, 'Anger': 0, 'Anticipation': 2, 'Disgust': 0, 'Fear': 0, 'Joy': 2, 'Sadness': 0, 'Surprise': 1, 'Trust': 2}",7,1,0,2,0,0,2,0,1,2,0,6,Open
1033,Good people culture,2018-09-26,Current Employee,4,Good people culture and strong company,Need to work extra hard to obtain market share,American Express, Anonymous Employee,Good people culture and strong companyNeed to work extra hard to obtain market share,Extrovert,Intuition,Thinking,Judging,traditional,ENJT,good people culture strong companyneed work extra hard obtain market share,"{'Positive': 3, 'Negative': 0, 'Anger': 0, 'Anticipation': 2, 'Disgust': 0, 'Fear': 0, 'Joy': 2, 'Sadness': 0, 'Surprise': 1, 'Trust': 2}",3,0,0,2,0,0,2,0,1,2,0,6,Open
1034,Poor leaders,2018-06-20,"Former Employee, more than 3 years",3,"*Talented People
 *Focus on employee well being & work life balance",*Continuous restructuring leading to lack of clarity amongst the leaders themselves,American Express, Anonymous Employee,"*Talented People
 *Focus on employee well being & work life balance*Continuous restructuring leading to lack of clarity amongst the leaders themselves",Extrovert,Intuition,Thinking,Perceiving,traditional,ENPT,talented people focus employee well  work life balancecontinuous restructuring leading lack clarity amongst leaders,"{'Positive': 4, 'Negative': 1, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 1}",4,1,0,0,0,0,0,0,0,1,0,1,Open
1035,Director,2018-03-27,Former Employee,5,Awesome place to work at,Its a world initself...learn to look outside some more,American Express, Anonymous Employee,Awesome place to work atIts a world initself...learn to look outside some more,Extrovert,Sensing,Feeling,Judging,innovative,ESJF,awesome place work atits world initselflearn look outside,"{'Positive': 0, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",0,0,0,0,0,0,0,0,0,0,0,0,Open
1036,Process manager,2018-03-12,Former Employee,4,good to work with and have good culture,none the company takes care of u,American Express, ,good to work with and have good culturenone the company takes care of u,Extrovert,Sensing,Thinking,Judging,traditional,ESJT,good work good culturenone company takes care u,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 2, 'Disgust': 0, 'Fear': 0, 'Joy': 2, 'Sadness': 0, 'Surprise': 2, 'Trust': 2}",2,0,0,2,0,0,2,0,2,2,0,6,Open
1037,Client Manager,2018-03-10,Current Employee,3,"Good company, good benefit, good reputation","Not innovative, products need to change",American Express, Anonymous Employee,"Good company, good benefit, good reputationNot innovative, products need to change",Extrovert,Intuition,Thinking,Judging,traditional,ENJT,good company good benefit good reputationnot innovative products need change,"{'Positive': 4, 'Negative': 0, 'Anger': 0, 'Anticipation': 3, 'Disgust': 0, 'Fear': 0, 'Joy': 3, 'Sadness': 0, 'Surprise': 3, 'Trust': 3}",4,0,0,3,0,0,3,0,3,3,0,9,Open
1038,Not bad,2017-12-14,"Former Employee, more than 1 year",4,"Guess was lucky , with nice colleagues and bosses hence the joy though the work was tough and intense. So far so good","Not so sure for others, Politics as usual everywhere and anywhere with some snob seniors, high turnovers,  plus a lot of conference calls",American Express, Anonymous Employee,"Guess was lucky , with nice colleagues and bosses hence the joy though the work was tough and intense. So far so goodNot so sure for others, Politics as usual everywhere and anywhere with some snob seniors, high turnovers,  plus a lot of conference calls",Extrovert,Intuition,Feeling,Judging,traditional,ENJF,guess lucky  nice colleagues bosses hence joy though work tough intense far goodnot sure others politics usual everywhere anywhere snob seniors high turnovers plus lot conference calls,"{'Positive': 2, 'Negative': 2, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 1, 'Surprise': 1, 'Trust': 1}",2,2,0,0,0,0,1,1,1,1,0,2,Open
1039,Great place to work at,2017-11-20,Former Employee,5,"Good employee benefits, Open Culture. Constant growth review with Management. Employee-centric","Lower base salary as compared to other financial institutions, but they compensate with employee benefits",American Express, ,"Good employee benefits, Open Culture. Constant growth review with Management. Employee-centricLower base salary as compared to other financial institutions, but they compensate with employee benefits",Extrovert,Sensing,Thinking,Perceiving,traditional,ESPT,good employee benefits open culture constant growth review management employeecentriclower base salary compared financial institutions compensate employee benefits,"{'Positive': 5, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 3}",5,0,0,1,0,0,1,0,1,3,0,5,Open
1040,"Great Place To Work , Everybody's dream employer",2017-11-13,"Current Employee, more than 10 years",5,Great work life balance ! The company invested a lot of money to create a leadership team with sufficient training and guidance,No area of opportunity at the moment.,American Express, Operations Team Manager,Great work life balance ! The company invested a lot of money to create a leadership team with sufficient training and guidanceNo area of opportunity at the moment.,Introvert,Sensing,Thinking,Judging,innovative,ISJT,great work life balance  company invested lot money create leadership team sufficient training guidanceno area opportunity moment,"{'Positive': 1, 'Negative': 0, 'Anger': 1, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 2}",1,0,1,1,0,0,1,0,1,2,1,4,Open
1041,Dispute Analyst,2017-09-28,"Former Employee, more than 3 years",4,"Fantastic environment, good pay & remuneration package",Too constant changes of process and procedures,American Express, ,"Fantastic environment, good pay & remuneration packageToo constant changes of process and procedures",Introvert,Sensing,Thinking,Judging,innovative,ISJT,fantastic environment good pay  remuneration packagetoo constant changes process procedures,"{'Positive': 4, 'Negative': 0, 'Anger': 0, 'Anticipation': 2, 'Disgust': 0, 'Fear': 0, 'Joy': 2, 'Sadness': 0, 'Surprise': 1, 'Trust': 3}",4,0,0,2,0,0,2,0,1,3,0,7,Open
1042,Director,2017-09-08,"Former Employee, less than 1 year",4,Flexible ability to work from home as most of the meetings + communications are teleconversations.  Work/payment approvals are managed electronically.,"Poor leadership in New York, HQ.
Plenty of superificial leaderships, and cheap talk.",American Express, Director,"Flexible ability to work from home as most of the meetings + communications are teleconversations.  Work/payment approvals are managed electronically.Poor leadership in New York, HQ.
Plenty of superificial leaderships, and cheap talk.",Introvert,Sensing,Thinking,Judging,innovative,ISJT,flexible ability work home meetings  communications teleconversations workpayment approvals managed electronicallypoor leadership new york hq plenty superificial leaderships cheap talk,"{'Positive': 1, 'Negative': 1, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",1,1,0,0,0,0,0,0,0,0,0,0,Open
1043,Great company to be at over the years but changing towards the not so best.,2017-09-07,"Former Employee, more than 8 years",3,"Culture, team quality and independence to do your best irrespective of changes in team structure. Leadership was once the bright side of the picture and forward looking with measured risk taking foresight.",Significant changes in leadership style that does not respect employee contributions and diligence- but continue to pay lip service demeaning employee intelligence leading to lack of motivation and initiative- can you blame them for leaving.,American Express, Anonymous Employee,"Culture, team quality and independence to do your best irrespective of changes in team structure. Leadership was once the bright side of the picture and forward looking with measured risk taking foresight.Significant changes in leadership style that does not respect employee contributions and diligence- but continue to pay lip service demeaning employee intelligence leading to lack of motivation and initiative- can you blame them for leaving.",Extrovert,Intuition,Thinking,Judging,innovative,ENJT,culture team quality independence best irrespective changes team structure leadership bright side picture forward looking measured risk taking foresightsignificant changes leadership style respect employee contributions diligence continue pay lip service demeaning employee intelligence leading lack motivation initiative blame leaving,"{'Positive': 4, 'Negative': 3, 'Anger': 1, 'Anticipation': 3, 'Disgust': 1, 'Fear': 1, 'Joy': 2, 'Sadness': 0, 'Surprise': 0, 'Trust': 4}",4,3,1,3,1,1,2,0,0,4,3,9,Open
1044,Consumer Card SG Overview,2017-08-02,"Current Employee, more than 5 years",2,"Preface: Having won many ""Best place to work"" awards, this may mislead a prospective candidate to a hasty decision. Armed with feedback from colleagues from various functions, I will attempt to put across a more balanced view.

- Good Benefits. 21 base days + 6 flexi leave etc. Pretty hefty Flex $ benefits. 

- Work Life balance in most teams (except crunch times). Get to leave early every last Friday each month.

- Hints of Senior leadership trying to improve the situation (See cons). To be fair, there are a handful of kind and great leaders within. Currently, most Team managers all seem decent, with the exception of 1 or 2 Support functions. 

- Superior Brand name. Though frowned upon for the costly tough to waive card fees, Amex is still best in class for customer service.","- Internal people culture. This is perhaps the largest Con. Promotes and Favours a certain ""Mould"". Those who don't get the short end of the stick, are spoken down to, or despised. It is especially disheartening to hear leaders bad-mouthing their own team members.

This is a Pro if you can deal/are comfortable with the following traits: Pretentious, Political, Judgmental, Ability to network and socialise well, ability to form Alliances/Cliques. 

There are chill and great people within Amex SG who are genuine, but numbers / motivation is dwindling. 

- Career development: Once again, same theme, play the game and you go up. Trip one mine and its over. Good Ratings sometimes mean nothing while poor ones get actioned upon. Be wary.

- Cost Cutting / unstable environment: Fresh from the wounds of cost cutting , with potential future re-org's on the platter.",American Express, Anonymous Employee,"Preface: Having won many ""Best place to work"" awards, this may mislead a prospective candidate to a hasty decision. Armed with feedback from colleagues from various functions, I will attempt to put across a more balanced view.

- Good Benefits. 21 base days + 6 flexi leave etc. Pretty hefty Flex $ benefits. 

- Work Life balance in most teams (except crunch times). Get to leave early every last Friday each month.

- Hints of Senior leadership trying to improve the situation (See cons). To be fair, there are a handful of kind and great leaders within. Currently, most Team managers all seem decent, with the exception of 1 or 2 Support functions. 

- Superior Brand name. Though frowned upon for the costly tough to waive card fees, Amex is still best in class for customer service.- Internal people culture. This is perhaps the largest Con. Promotes and Favours a certain ""Mould"". Those who don't get the short end of the stick, are spoken down to, or despised. It is especially disheartening to hear leaders bad-mouthing their own team members.

This is a Pro if you can deal/are comfortable with the following traits: Pretentious, Political, Judgmental, Ability to network and socialise well, ability to form Alliances/Cliques. 

There are chill and great people within Amex SG who are genuine, but numbers / motivation is dwindling. 

- Career development: Once again, same theme, play the game and you go up. Trip one mine and its over. Good Ratings sometimes mean nothing while poor ones get actioned upon. Be wary.

- Cost Cutting / unstable environment: Fresh from the wounds of cost cutting , with potential future re-org's on the platter.",Extrovert,Sensing,Thinking,Judging,innovative,ESJT,preface many best place work awards may mislead prospective candidate hasty decision armed feedback colleagues various functions attempt put across balanced view  good benefits 21 base days  6 flexi leave etc pretty hefty flex  benefits  work life balance teams except crunch times get leave early every last friday month  hints senior leadership trying improve situation see cons fair handful kind great leaders within currently team managers seem decent exception 1 2 support functions  superior brand name though frowned upon costly tough waive card fees amex still best class customer service internal people culture perhaps largest con promotes favours certain mould get short end stick spoken to despised especially disheartening hear leaders badmouthing team members pro dealare comfortable following traits pretentious political judgmental ability network socialise well ability form alliancescliques chill great people within amex sg genuine numbers  motivation dwindling  career development again theme play game go up trip one mine over good ratings sometimes mean nothing poor ones get actioned upon wary  cost cutting  unstable environment fresh wounds cost cutting  potential future reorgs platter,"{'Positive': 19, 'Negative': 6, 'Anger': 4, 'Anticipation': 10, 'Disgust': 0, 'Fear': 2, 'Joy': 7, 'Sadness': 3, 'Surprise': 6, 'Trust': 14}",19,6,4,10,0,2,7,3,6,14,6,31,Open
1045,Great benefits and management!,2017-07-17,"Former Employee, less than 1 year",4,"Great benefits, perks and team leadership.",the demands of customers may affect longer hours spent working.,American Express, Client Relationship Manager,"Great benefits, perks and team leadership.the demands of customers may affect longer hours spent working.",Introvert,Sensing,Thinking,Judging,innovative,ISJT,great benefits perks team leadershipthe demands customers may affect longer hours spent working,"{'Positive': 2, 'Negative': 2, 'Anger': 1, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 1}",2,2,1,0,0,0,0,0,0,1,1,1,Open
1046,Alive thanks to the Brand,2017-06-28,"Former Employee, more than 10 years",3,"1. Great people at the working level and first line managers, honest hardworking people who need jobs and are genuine.
2. Brand is still strong and considered ""premium"".
3. Plenty of opportunity to learn outside your job scope.
4. If you join on the phones, you will learn the best possible customer etiquette.
5. Flexible working conditions.","1. Senior management from 2nd line managers and above have been there forever and have set mindset.
2. VERY risk averse and we are technologically and practice wise at least 10 years behind our competitors.
3. Moving up is about who you know and if a senior leader has a bad experience with you, your career is pretty much over.
4. Point#3 allows a lot of people who are non collaborative, skill deficient but effective communicators and networkers to move up as promotional hiring is based on recommendation.
5. Cost cutting every year but senior leaders from VP level travel a lot and LUXURIOUSLY, they get high bonuses and stocks. If you want to save money, reduce your expenses, do not cut the working force.",American Express, Senior Manager,"1. Great people at the working level and first line managers, honest hardworking people who need jobs and are genuine.
2. Brand is still strong and considered ""premium"".
3. Plenty of opportunity to learn outside your job scope.
4. If you join on the phones, you will learn the best possible customer etiquette.
5. Flexible working conditions.1. Senior management from 2nd line managers and above have been there forever and have set mindset.
2. VERY risk averse and we are technologically and practice wise at least 10 years behind our competitors.
3. Moving up is about who you know and if a senior leader has a bad experience with you, your career is pretty much over.
4. Point#3 allows a lot of people who are non collaborative, skill deficient but effective communicators and networkers to move up as promotional hiring is based on recommendation.
5. Cost cutting every year but senior leaders from VP level travel a lot and LUXURIOUSLY, they get high bonuses and stocks. If you want to save money, reduce your expenses, do not cut the working force.",Extrovert,Sensing,Thinking,Judging,innovative,ESJT,1 great people working level first line managers honest hardworking people need jobs genuine 2 brand still strong considered premium 3 plenty opportunity learn outside job scope 4 join phones learn best possible customer etiquette 5 flexible working conditions1 senior management 2nd line managers forever set mindset 2 risk averse technologically practice wise least 10 years behind competitors 3 moving know senior leader bad experience you career pretty much over 4 point3 allows lot people non collaborative skill deficient effective communicators networkers move promotional hiring based recommendation 5 cost cutting every year senior leaders vp level travel lot luxuriously get high bonuses stocks want save money reduce expenses cut working force,"{'Positive': 18, 'Negative': 2, 'Anger': 3, 'Anticipation': 6, 'Disgust': 2, 'Fear': 3, 'Joy': 6, 'Sadness': 2, 'Surprise': 2, 'Trust': 11}",18,2,3,6,2,3,6,2,2,11,8,23,Open
1047,Great Company,2017-05-31,"Current Employee, more than 5 years",5,"Great company, great people. Excellent benefits and work life balance.","Declining business in Singapore, lack of breakthrough products.",American Express, Manager,"Great company, great people. Excellent benefits and work life balance.Declining business in Singapore, lack of breakthrough products.",Extrovert,Intuition,Thinking,Judging,traditional,ENJT,great company great people excellent benefits work life balancedeclining business singapore lack breakthrough products,"{'Positive': 2, 'Negative': 1, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}",2,1,0,1,0,0,1,0,1,1,0,3,Open
1048,Good & Flexible Place to work,2017-05-19,"Former Employee, more than 1 year",5,"I didn't face any issue during my working period, so nothing to comment","Flexible working hours, Supportive management, Challenging work  environment.",American Express, Business Analyst,"I didn't face any issue during my working period, so nothing to commentFlexible working hours, Supportive management, Challenging work  environment.",Extrovert,Intuition,Thinking,Judging,traditional,ENJT,face issue working period nothing commentflexible working hours supportive management challenging work environment,"{'Positive': 1, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",1,0,0,0,0,0,0,0,0,0,0,0,Open
1049,Contract to permanent,2017-06-01,"Former Employee, less than 1 year",4,"Work-life balance, Friday knock off 30mins earlier.  Depends on your business function.",competition between business functions.,American Express, Client Service,"Work-life balance, Friday knock off 30mins earlier.  Depends on your business function.competition between business functions.",Extrovert,Intuition,Thinking,Judging,traditional,ENJT,worklife balance friday knock 30mins earlier depends business functioncompetition business functions,"{'Positive': 0, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 1}",0,0,0,1,0,0,0,0,0,1,0,2,Open
1050,Risk & Information Management,2017-05-17,Former Employee,4,"good work
good work-life balance
growth opportunities",Environment can be more lively,American Express, Anonymous Employee,"good work
good work-life balance
growth opportunitiesEnvironment can be more lively",Extrovert,Intuition,Feeling,Perceiving,traditional,ENPF,good work good worklife balance growth opportunitiesenvironment lively,"{'Positive': 3, 'Negative': 0, 'Anger': 0, 'Anticipation': 2, 'Disgust': 0, 'Fear': 0, 'Joy': 2, 'Sadness': 0, 'Surprise': 2, 'Trust': 2}",3,0,0,2,0,0,2,0,2,2,0,6,Open
1051,Many restructuring and lost in focus,2017-04-07,"Former Employee, more than 5 years",3,Good pay and some dept has good work & life balance.,Company does not seem know what is the next step,American Express, Senior Manager,Good pay and some dept has good work & life balance.Company does not seem know what is the next step,Extrovert,Intuition,Thinking,Perceiving,innovative,ENPT,good pay dept good work  life balancecompany seem know next step,"{'Positive': 3, 'Negative': 0, 'Anger': 0, 'Anticipation': 3, 'Disgust': 0, 'Fear': 0, 'Joy': 3, 'Sadness': 0, 'Surprise': 2, 'Trust': 3}",3,0,0,3,0,0,3,0,2,3,0,9,Open
1052,"It is not the organisation, it is the management",2017-02-24,"Former Employee, more than 1 year",2,"Good medical benefits, 21 days annual leave (same as other financial institutes), decent pay, physically clean working environment, spacious work desk.",Depending in the department you would like to enrol. Organisation has a great vision and tries it best to follow. It is the management from the department who twist the work ethics. Toxic environment and gossiping team leaders. Sales target can be changed in the mist of the middle of the quarter which is unprofessional forcing the sales people to work harder.,American Express, Anonymous Employee,"Good medical benefits, 21 days annual leave (same as other financial institutes), decent pay, physically clean working environment, spacious work desk.Depending in the department you would like to enrol. Organisation has a great vision and tries it best to follow. It is the management from the department who twist the work ethics. Toxic environment and gossiping team leaders. Sales target can be changed in the mist of the middle of the quarter which is unprofessional forcing the sales people to work harder.",Extrovert,Sensing,Thinking,Judging,traditional,ESJT,good medical benefits 21 days annual leave same financial institutes decent pay physically clean working environment spacious work deskdepending department would like enrol organisation great vision tries best follow management department twist work ethics toxic environment gossiping team leaders sales target changed mist middle quarter unprofessional forcing sales people work harder,"{'Positive': 10, 'Negative': 2, 'Anger': 0, 'Anticipation': 5, 'Disgust': 1, 'Fear': 0, 'Joy': 3, 'Sadness': 2, 'Surprise': 1, 'Trust': 5}",10,2,0,5,1,0,3,2,1,5,1,13,Open
1053,Assistant Manager,2017-01-25,Current Employee,4,Strong employee culture. Professional work arena. Good colleagues.,Very traditional and formal work culture with a lot of heritage. Therefore legacy system.,American Express, ,Strong employee culture. Professional work arena. Good colleagues.Very traditional and formal work culture with a lot of heritage. Therefore legacy system.,Introvert,Sensing,Thinking,Perceiving,traditional,ISPT,strong employee culture professional work arena good colleaguesvery traditional formal work culture lot heritage therefore legacy system,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 2}",2,0,0,1,0,0,1,0,1,2,0,4,Open
1054,Work environment,2016-12-12,Former Employee,3,Interesting place to work in. Friendly colleagues,No worklife balance and late working hours,American Express, Compliance Intern,Interesting place to work in. Friendly colleaguesNo worklife balance and late working hours,Extrovert,Sensing,Feeling,Judging,innovative,ESJF,interesting place work in friendly colleaguesno worklife balance late working hours,"{'Positive': 2, 'Negative': 1, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 1, 'Surprise': 0, 'Trust': 1}",2,1,0,0,0,0,1,1,0,1,0,2,Open
