,posts,company,type
1475," History being made. Congrats to our partners United Airlines, Boeing, CFM International (CFM), and GE Aviation on such a monumental feat with the first passenger flight using 100% sustainable aviation fuel (SAF).  Today United Airlines plans to operate a historic flight, the first passenger flight using 100% sustainable aviation fuel (SAF). What is SAF, and how does it help reduce lifecycle carbon emissions? Glad you asked. ⬇️Read more about the flight: https://bit.ly/3pjp5ru#sustainableaviationfuel #aviation",General Electric,traditional
1476, 📰 Breaking Energy News 📰GE Grid Solutions and BOND Civil & Utility Construction were awarded a contract for on- and offshore high voltage equipment. The contract includes an onshore substation that will connect the wind power project and integrate renewable energy to the New York Power Grid. https://invent.ge/3tFWdNo,General Electric,traditional
1477," Mark your calendars for tomorrow at 11:35 AM PST. Roger Martella sits down with David Kirkpatrick, Techonomyfounder and editor-in-chief, for a fireside chat discussing GE’s perspective on the #EnergyTransition and how we are accelerating breakthrough technologies for a lower-carbon future. #TechonomyClimateRSVP here → https://lnkd.in/dSZUiG9u",General Electric,traditional
1478," Our future is bright. We’re running GE’s businesses better, creating value for shareholders today and tomorrow.Learn more from our 2022 Investor Day about GE’s strong foundation to deliver profitable growth.https://www.ge.com/",General Electric,traditional
1479," Don’t forget to block your 🗓️  tomorrow at 7:30 am ET to join members of the GE Leadership team at this year’s Investor Day. They will discuss GE’s strategy to drive innovation & profitable growth, positioning each GE business for success in 2022 & beyond. https://lnkd.in/epTYJZ2K",General Electric,traditional
1480, Today GE shared an update regarding its operations in Russia.,General Electric,traditional
1481," We are happy to share that GE has joined the U.S. Department of Energy (DOE)'s #BetterClimateChallenge. Our partnership and commitment includes reducing our greenhouse gas emissions by 50% within 10 years. As a global leader in the energy transition, our responsibility, along with the other inaugural partners, is set on building a better future.→ https://lnkd.in/eF7ERHPHBetter Buildings",General Electric,traditional
1482, GE and the GE Foundation are proud to support the people of Ukraine and their surrounding countries by donating $4.5 million in medical equipment and humanitarian support to the region. Learn more: https://invent.ge/3vzLJQW,General Electric,traditional
1483, Taking another step towards our commitment to become #carbon neutral in our operations by 2030. GE will support a blade-recycling project in Spain to recycle fiberglass and carbon fiber from #wind turbines.Read more: https://invent.ge/3AYC5YL,General Electric,traditional
1484," Chairman & CEO Larry Culp says for GE in 2022, the destination is clear.We’re laying the groundwork to become three independent companies focused on critical global needs, positioned to lead in the future of flight, precision healthcare, and energy transition.  ✈️  🩺  ☀️Check out the full note here: https://bit.ly/346VEli",General Electric,traditional
1485," At GE, we know the Energy Transition is a big job. The world needs and wants our best work, and here's how we're making it happen. 💪We’re bringing the first 9HA.01 gas turbines to burn hydrogen-blended gas in China, starting with an order from Guangdong Energy Group.Learn how GE continues to lead the Energy Transition, and read about our strategic, operational, and financial progress here. https://invent.ge/3KFWGWl",General Electric,traditional
1486," At GE Healthcare, the future of precision health is now in the palm of our hands.Vscan Air™, a handheld wireless ultrasound, is an essential tool that GE has scaled to more than 70 countries.Learn how GE continues to innovate for growth and advance precision health. Read about our strong 2021 performance here. 👩🏻‍⚕️ https://invent.ge/3KFWGWl",General Electric,traditional
1487," How is GE flying into the future? ✈️Last month, GE Aviation supported the first passenger flight, operated by United Airlines, to use 100% SAF (sustainable aviation fuel) in one of the two engines.Learn how we are shaping the future of flight and read about our team’s strategic, operational, and financial progress here. https://invent.ge/3KFWGWl",General Electric,traditional
1488," We are still feeling that new year energy. Our CEO, Larry Culp, shares his plans for GE and the focused road ahead—Build three forward-thinking companies positioned to lead in important high-growth sectors: aviation, healthcare, and energy. Check out his detailed note for 2022 top priorities.https://bit.ly/3K5qxHk",General Electric,traditional
1489," 2021 was an important year for GE, marked by significant strategic, operational, and financial progress. Read more on GE’s strong performance in 2021. https://bit.ly/346VEli",General Electric,traditional
1490," 5G can change the way we live, stay in touch and shop. Imagine zipping through heavy downloads at nearly 100 times the current speeds. Leveraging 5G features, GE is coming up with 'digital test beds', teaming up with AT&T. Read: https://invent.ge/3dVIskS",General Electric,traditional
1491," Hybrid electric planes have brought us closer than ever to environment friendly flying. ✈️📷 In focus: Brad Mottier, President and CEO, GE Aviation Systems, who's helping bring down the Aviation industry's carbon footprint. To know more: https://invent.ge/3edWu1L",General Electric,traditional
1492," Ready to talk aviation? Don’t forget to block your 🗓 today at 12:30 pm EST for a conversation with Alex Lieberman at Morning Brew, Scott Kirby at United Airlines John S. Slattery at GE Aviation on how the industry is reimagining sustainability. Tune in via Twitter Spaces: https://bit.ly/3rvLC7c",General Electric,traditional
1493," Building a Brighter Future Today. What does that future look like? GE engineers and scientists are already working on it. With three industry-leading, global public companies, each essential to modern life, we’re dedicated to building a world that works. Read more about GE’s plans at GE.com",General Electric,traditional
1494," Today, GE announced plans to form three industry-leading, global public companies focused on the growth sectors of aviation, healthcare, and energy. The momentum our teams have built puts us in a position of strength to take this exciting next step in GE’s transformation and realize the full potential of each of our businesses.",General Electric,traditional
1495," Earlier today, GE Chairman and CEO Larry Culp spoke on CNBC about GE’s announcement to form three industry-leading, global public companies focused on the growth sectors of aviation, healthcare, and energy. This is a defining moment for GE, and we are ready. Watch the full clip: https://cnb.cx/3wtnWAN",General Electric,traditional
1496," How exciting can the ‘E’ in STEM be? Show us through Next Engineers, GE Foundation's global program, inviting young minds to build what's next.  Sign up: https://lnkd.in/dBC8ch2d  #learning #EdTech #STEM",General Electric,traditional
1497," This quarter, GE Renewable Energy started operating the Haliade-X offshore wind prototype turbine at 14 MW, a first in the industry. Learn how we are leading the energy transition and read about our team’s continued strong performance here. https://invent.ge/3Bgfu8N",General Electric,traditional
1498," This quarter, GE Healthcare introduced Edison TruePACS, an AI-enabled, cloud-based diagnostic imaging and workflow solution for radiologists. Learn how we are advancing precision health and read about our team’s continued strong performance here. https://invent.ge/3Bgfu8N",General Electric,traditional
1499," In the third quarter, NASA announced a new research partnership with GE Aviation to accelerate the introduction of hybrid electric flight technologies for commercial aviation.Learn how we are shaping the future of flight and read about our team’s continued strong performance here. https://invent.ge/3Bgfu8N",General Electric,traditional
1500," During the GE third quarter Earnings call, Chairman and CEO Larry Culp highlighted continued progress in our transformation to a more focused, simpler, stronger high-tech industrial company. Read his remarks here:https://bit.ly/3jDDjkU",General Electric,traditional
1501," GE is building a world that works. In doing so, we're partnering with The Economist on 11/3 to discuss a low-carbon future in the GCC. Register today to join the conversation: https://bit.ly/3FM0we7",General Electric,traditional
1502, GE Foundation Commits up to $100 Million to Increase Diversity of Young People in Engineering. https://invent.ge/3BSpwOFToday we’re launching Next Engineers – a global GE program designed to diversify the field of engineering through the next young minds. #learning #EdTech #STEM,General Electric,traditional
1503, We're chatting with Alex Lieberman from Morning Brew to discuss energy transition and decarbonization. Tune in to the Twitter Spaces conversation on your mobile device today at 12:30 PM EST to learn about energy and how it impacts our future.  Join us here: https://bit.ly/3v3ql4g #MorningBrewPartner,General Electric,traditional
1504, Producción con manufactura aditiva a gran escala en la industria automotriz. Asista a nuestro webinar “Descubra los aspectos técnicos de la tecnología Binder Jet” para conocer más de esta tecnología.https://lnkd.in/gCjaZHEw,General Electric,traditional
1505, Asista a nuestro webinar “Descubra los aspectos técnicos de la tecnología Binder Jet” para conocer cómo esta tecnología está reduciendo los costos de producción y al mismo tiempo incrementando la calidad de las piezas terminadas.https://lnkd.in/eDKjNNpc,General Electric,traditional
1506," ¡Imprimir más de 100,000 piezas con manufactura aditiva es posible! Asista a nuestro webinar “Descubra los aspectos técnicos de la tecnología Binder Jet” para conocer más de esta tecnología.",General Electric,traditional
1507," By investing in surgical visualization technologies, GE is assisting surgeons to make better informed decisions, improving patient outcomes. Read more here: https://invent.ge/3oktIT0",General Electric,traditional
1508," Three-quarters of a billion people today lack the very vital skill of literacy. That’s why GE has worked closely with WGI over the last three years to increase literacy among underserved populations, developing a mobile app called Lyra that teaches users how to read and write from wherever they are in the world, for free.“It’s a true example of what we mean at GE when we say, ‘building a world that works.’” – Nancy Anderson, CIO, GE. As we recognize #WorldLiteracyDay across the globe, we invite you to learn more: https://lnkd.in/g8q3iXXH",General Electric,traditional
1509," Ahalya Lettenberger, one of our GE Healthcare interns, is swimming for Team USA at the #ParalympicGames in Tokyo tonight. Help us wish her luck in the comments! https://invent.ge/3ixeIhm",General Electric,traditional
1510, Small modular reactors will play a major part in helping Canada reach its pledge to reduce its net carbon emissions to zero by 2050. GE Hitachi Nuclear Energy has already raised its hand to help the country hit this goal by deploying the world’s first grid-scale SMR—and by helping it become a global leader in nuclear technology. https://invent.ge/3ybK15W,General Electric,traditional
1511,,Home Depot,traditional
1512," Angie Brown, our SVP of Technology, is kicking off our Corporate Career Day! Join her on September 8 at 1pm to learn about her 24-year career journey with us and what makes The Home Depot a great place to work. Register today: thd.co/careerday #CareerDay #WeAreHomeDepot",Home Depot,traditional
1513," Today, we announced our Q2 2022 earnings. In the second quarter, we delivered the highest quarterly sales and earnings results in our company’s history. Thank you to our associates and many partners for their hard work and dedication to our customers. https://lnkd.in/gX2s3Des #HDEarnings #WeAreHomeDepot",Home Depot,traditional
1514, Congratulations to one of our Store Managers Jay’are! #WeAreHomeDepot #WellDone  WOW!! HUMBLED to be recognized by LinkedIn as a 2022 Top Voices in Frontline Work. Truly appreciate the amazing associates and communities we serve here at The Home Depot. Grateful to share this recognition with this year's recipients and those not mentioned giving back and making a difference in communities around the world. To my amazing team: you are the true frontline work heroes and we share this honor! Grateful and Speechless !! #LinkedinTopVoices https://lnkd.in/ghuXhA9U,Home Depot,traditional
1515," Save the date: Corporate Career Day is BACK September 8th! Meet some of the teams across our organization, including our Retail Media+ team, and learn more about their goals and roles. Register today here: thd.co/careerday",Home Depot,traditional
1516," We welcomed our Summer 2022 interns in-person to meet their teams, attend Executive Leadership panel discussions, and put our values into action by giving back with HeroBox. Check out some highlights! Learn more about our summer internship at https://lnkd.in/gu4y4JEF. #ToolsForNowAndLater #GrowWithHomeDepot",Home Depot,traditional
1517, Learn more about our open roles: thd.co/retailmediajobs,Home Depot,traditional
1518, Did you know our Retail Media+ team provides brands with innovative ways to reach their customers and enhance the interconnected experience for all? Check out the teams that make up this cutting-edge group or learn more here: thd.co/rm #Marketing,Home Depot,traditional
1519," Our over 20,000 hardworking #SupplyChain associates help us every day of the year, and we’re so grateful for their support! Search open roles near you and join our team today: https://lnkd.in/gn3HeJS5 #WeAreHomeDepot #ApplyNow",Home Depot,traditional
1520," “Built around our core values, our approach to ESG centers around three key pillars – Focus on Our People, Operate Sustainably, and Strengthen Our Communities.”- Ted Decker, CEO & PresidentTo learn more about our approach to ESG visit: https://lnkd.in/gCtne-VQ",Home Depot,traditional
1521, ATTN: Hourly Home Depot Field Associates!The Career Mobility Program helped Matt transition from being in the aisles to supporting stores on a corporate level. Looking to grow your Home Depot Career? Text FallCMP to 52270 and apply today.,Home Depot,traditional
1522,,Home Depot,traditional
1523," Kevin wasn’t sure where his journey would take him when he first moved to the U.S. by himself in 2010. Today, he is a Regional Delivery Manager with a growing family and a desire to inspire others. #JulyChain #WeAreHomeDepot",Home Depot,traditional
1524," After joining Home Depot in 2014 as a Garden Loader, Stephanie decided to change gears. She has since joined our team of Delivery Drivers and is excited to greet our online customers every day. #JulyChain #WeAreHomeDepot",Home Depot,traditional
1525," Gerald is a husband, father, Navy service member, and assistant store manager in Greenville, South Carolina. Here’s an inside look at his story as we continue to honor and celebrate #MilitaryAppreciationMonth. https://thd.co/GeraldSims",Home Depot,traditional
1526, The dynamic nature of #SupplyChain is a great place for career growth! Interested in beginning your Supply Chain journey? Search and #ApplyNow at https://lnkd.in/gn3HeJS5 #JulyChain #GrowWithHomeDepot,Home Depot,traditional
1527," Bill loves his coworkers, job, and how we give back to the veteran community. But what does he like most? #JulyChain #WeAreHomeDepot",Home Depot,traditional
1528, 27 years and counting: Cassandra started out in our stores and is now part of our warehouse team. She is ready for the endless opportunities in Supply Chain! #JulyChain #WeAreHomeDepot,Home Depot,traditional
1529, We're honored to be named one of the Most Trusted Brands of 2022! Thank you to our associates who take care of our customers every day. #WeAreHomeDepot,Home Depot,traditional
1530, Having a supportive team makes all the difference in growing your career. #GrowWithHomeDepot #WeAreHomeDepot,Home Depot,traditional
1531, Today we’re swapping out our orange aprons as we spend time with loved ones. Wishing all our hardworking associates and amazing customers a #HappyThanksgiving!,Home Depot,traditional
1532," Whether Santa shops here or not is still to be determined. But, we do know some people who know a thing or two about giving. To our almost 500,000 associates who make the holidays happen, thank you 🧡",Home Depot,traditional
1533, We are proud to support Lexi and the families and spouses of military members across the country. Learn more about Lexi’s journey at https://lnkd.in/ggQDAaSp #MilitarySpouseAppreciationDay,Home Depot,traditional
1534," Our Data Science teams across the enterprise touch nearly every aspect of the customer and associate experience. Join our growing teams, backed by cutting-edge tech and endless innovation. thd.co/datascience #DataScienceatTHD",Home Depot,traditional
1535," Our Data Scientists operate on teams across the enterprise, impacting the customer journey every step of the way. Explore our open jobs! thd.co/datascience #DataScienceatTHD",Home Depot,traditional
1536," Tune in on June 10 to see how curiosity and passion fuels innovation in Data Science. Jinzhou will be joined by Snap Inc.’s Laura Evans, VP of Data Science & Analytics. thd.co/aiinsights #DataScienceatTHD #AIinsights",Home Depot,traditional
1537," This week, we’re highlighting Data Science at Home Depot! Follow along to learn how our Data Science Teams are revolutionizing the future of retail. #DataScienceatTHD",Home Depot,traditional
1538," Today, and every day, we honor our nation’s fallen service members and their families.",Home Depot,traditional
1539," Justin Burleigh, Vice President of E-Commerce and Interconnected Experience at The Home Depot, recently joined the Build Better Tech podcast to talk innovation in product management that creates a frictionless experience for Pro and DIY customers. Listen to the full episode here: https://thd.co/3ropniQ ",Home Depot,traditional
1540," Today, we announced our Q1 2022 earnings results, and the year is off to a solid start. Thank you to our associates who delivered strong growth on top of last year’s historic growth. See our performance results on this quarter’s infographic: https://lnkd.in/gb523spW. #WeAreHomeDepot",Home Depot,traditional
1541," A big welcome to our Summer 2022 Interns! Today, 280+ interns join us for the summer to gain hands-on experience, work on critical projects that will impact our business, and develop the skills that will help them as they begin their careers. We are so excited to welcome each of you to The Home Depot! #ToolsForNowAndLater #WeAreHomeDepot",Home Depot,traditional
1542," The Home Depot Names Ted Decker CEO, Effective March 1, 2022, and Craig Menear Continues as Chair of the Board https://lnkd.in/dpsvz8yG",Home Depot,traditional
1543, Wishing all the mothers a Happy Mother’s Day! #MothersDay ,Home Depot,traditional
1544, #WomensHistoryMonth #WeAreHomeDepot,Home Depot,traditional
1545, #WomensHistoryMonth #WeAreHomeDepot,Home Depot,traditional
1546, Happy International Women's Day! Follow along and celebrate #WomensHistoryMonth with us as our associates share advice and inspiration. #WeAreHomeDepot,Home Depot,traditional
1547," ""Our success is driven by our associates, unique culture, customer focus, and operational excellence. This is the power of The Home Depot.” - Ted Decker, CEO & President #WeAreHomeDepot",Home Depot,traditional
1548, #BlackHistoryMonth #WeAreHomeDepot ,Home Depot,traditional
1549, We love to celebrate and share the passions of our associates. Follow our Twitch channel to watch our Technology team stream their gameplay every other Wednesday starting tonight at 6:00pm EST! https://thd.co/3se0A1v,Home Depot,traditional
1550," We want you to feel empowered to take control of your career. All of our associates have access to the people, tools, and resources they need to help them grow.Explore ways you can grow: https://thd.co/3GHjp1z",Home Depot,traditional
1551," We're welcoming associates from our stores for a virtual 9-week career exploration program with our Store Support Center! They'll spend this spring working on critical projects with our Supply Chain, Merchandising, Outside Sales & Services, and Store Ops teams. #ApronUp",Home Depot,traditional
1552, #BlackHistoryMonth #WeAreHomeDepot,Home Depot,traditional
1553, See our #infographic https://lnkd.in/e8DNZT3k $HD #HDEarnings #HomeDepot,Home Depot,traditional
1554, #BlackHistoryMonth #WeAreHomeDepot,Home Depot,traditional
1555," As Spring Career Day wraps up, be sure to apply at https://thd.co/3544elh! With stores, distribution centers, and field positions across the country, your next opportunity might be just around the corner. ",Home Depot,traditional
1556, Happening now! Hear from associates including Salvador as they share how The Home Depot takes care of our people and our communities during our Spring Career Day event! #WeAreHomeDepot thd.co/jobfair,Home Depot,traditional
1557," Join our Spring Career Day to hear from leaders and get a sneak peek at what it’s like to work in our stores, distribution centers, and other field roles! #WeAreHomeDepot thd.co/jobfair",Home Depot,traditional
1558, Register for our Spring Career Day to hear from our leaders as they share a behind-the-apron look at our company’s success and how you can build a dream career here: http://thd.co/jobfair,Home Depot,traditional
1559, #BlackHistoryMonth #WeAreHomeDepot ,Home Depot,traditional
1560, Our Spring Career Day is happening now! #WeAreHomeDepot,Home Depot,traditional
1561," Why The Home Depot? Register for Spring Career Day to hear our associates speak about benefits you can count on, how a job with us can kick-start a lifelong career, and how we take care of each other: thd.co/jobfair",Home Depot,traditional
1562, Follow along and celebrate #BlackHistoryMonth with us as our associates share what this time of year means to them! #WeAreHomeDepot,Home Depot,traditional
1563," The apron invitation is open to everyone -- whatever your background, experience, goals, and schedule might be. We work as a team to create a comfortable workplace where you can truly thrive.Join our team: https://thd.co/3GHjp1z",Home Depot,traditional
1564," Today’s the day! Register now to kick things off with Crystal Hanlon, Northern Division President, and hear about how she grew from a cashier to leading 796 stores and more than 110,000 associates: thd.co/jobfair",Home Depot,traditional
1565," Be sure to register for our virtual Spring Career Day! Join us on Wednesday, February 16 to meet some of our incredible associates and see why we love putting on the orange apron: thd.co/jobfair",Home Depot,traditional
1566, Join our Spring Career Day as associates share their career stories and how they’ve grown at The Home Depot. #WeAreHomeDepot thd.co/jobfair,Home Depot,traditional
1567," The Home Depot is helping to educate the next generation of skilled trades professionals with free training through our Path to Pro program. Introductory training registration is now available to residents in New York City, New Jersey, Philadelphia, Los Angeles, San Diego, and Phoenix. Start your new career path in the trades and register today: https://lnkd.in/g36HKgMe",Home Depot,traditional
1568," Doing your best work means finding the best fit. At the world’s largest home improvement retailer, there are so many ways you can grow your career.Explore ways you can grow: https://thd.co/3GHjp1z",Home Depot,traditional
1569," We have positions in our stores, distribution centers, outside sales and service, and more! Join our Spring Career Day to learn more from leaders and associates as they speak about their jobs and why they love working on our team. Register today: thd.co/jobfair",Home Depot,traditional
1570, No home improvement experience? No problem. We’ll provide you with all the training and knowledge you’ll need to succeed.Apply for your apron today: https://thd.co/3GHjp1z,Home Depot,traditional
1571, #BlackHistoryMonth #WeAreHomeDepot,Home Depot,traditional
1572," Whether it’s in our stores or distribution centers, we’ll work with you to form a schedule that helps you reach your goals and support you with benefits like tuition reimbursement.Apply for your apron today: https://thd.co/3GHjp1z",Home Depot,traditional
1573," Whether it’s in our stores, warehouses, call centers, or store support center -- we lead our teams based on a simple idea: Put our associates and customers first, and the rest will take care of itself.Apply for your apron today: https://thd.co/3GHjp1z",Home Depot,traditional
1574," Our associates have a whole range of benefits available to them like tuition reimbursement, backup childcare, electronic and grocery discounts, and so much more!Explore our benefits and apply: https://thd.co/3GHjp1z",Home Depot,traditional
1575, We think of our values as instructions that guide our actions every day. They keep us working toward the same goals so we can build strong teams with strong opportunities to grow your career.Explore ways you can grow: https://thd.co/3GHjp1z​,Home Depot,traditional
1576, A new apron is a good look on you in 2022! Follow along this month to hear from associates growing their careers and learn why you should join them in orange this year.Apply for your apron today: thd.co/4769,Home Depot,traditional
1577," Today and every day, we strive to create equitable change in our communities. This week, in honor of Dr. Martin Luther King Jr., #TeamDepot volunteers are making a difference in hundreds of lives by completing service projects across the country.Read more here >> https://thd.co/MLKDay2022",Home Depot,traditional
1578," 2022 is almost here, and we’re hiring! Join our talent community to stay up to date on new job opportunities near you for the new year! https://thd.co/3nsMNSp ",Home Depot,traditional
1579, There’s nothing cozier than the orange apron! Join our team this holiday season and find out why The Home Depot is such a great place to work during the holidays. Apply today: https://thd.co/3ybqTGZ,Home Depot,traditional
1580," Jessica is a military spouse, U.S. Navy veteran and mom. Learn how she’s grown her career without ever worrying about starting over due to military relocation: https://lnkd.in/gYfYYdap",Home Depot,traditional
1581," The day is here! Join our virtual Corporate Career Day to learn more about career opportunities, connect with recruiters, and more! Register now to hear Arlette Guthrie, senior VP of HR, kick things off at 1pm EST with a keynote speech about what makes our corporate culture so unique: thd.co/careerday",Home Depot,traditional
1582," May this Hanukkah be filled with peace, light and happiness ✨📸: House of Goldies",Home Depot,traditional
1583," Don’t forget to register for our upcoming Corporate Career Day! Connect virtually with recruiters and hear from different business leaders such as Tia Likely, senior director of technology, about building your career at the world’s largest home improvement retailer: thd.co/careerday",Home Depot,traditional
1584," After retiring from the Air Force, Aminah became a Home Depot distribution center engineer through our Hiring our Heroes partnership – a program supporting military members transitioning to a second career. Read about her journey and our veteran initiatives here: https://thd.co/3cihP9f",Home Depot,traditional
1585," Join our virtual Corporate Career Day on Nov. 30 to hear Katy Faulder, senior director of operations process, share valuable insights around building a meaningful career in operations at The Home Depot! Register today: thd.co/careerday",Home Depot,traditional
1586, We released our Q3 2021 earnings results this morning. See our #infographic https://lnkd.in/eJvjuzkS $HD #HDEarnings #HomeDepot,Home Depot,traditional
1587," Today, and every day, we honor the sacrifice of veterans and their families, including the more than 35,000 Home Depot associates who have worn a uniform. To all who serve and have served – thank you.",Home Depot,traditional
1588," Pete Capel, a Marine Corps veteran, grew his 30-year Home Depot career from sales associate to vice president of field merchandising by drawing upon his military experience to guide his leadership style. Read more about Pete’s journey from veteran to associate: https://thd.co/3D5uh7Q",Home Depot,traditional
1589, Proud to be recognized by Forbes as one of America’s Best Employers for Veterans in 2021! Follow along this month as we spotlight and honor some of the amazing military veterans and spouses who wear the orange apron today.,Home Depot,traditional
1590," #AfroTech2021 starts today! Felicia Rives, a technology director at The Home Depot, recently sat down with the AfroTech team to share insights from her career journey and offer advice for those hoping to grow their career in the tech industry: https://bit.ly/3qaRnGy ",Home Depot,traditional
1591," Join our first-ever virtual Corporate Career Day to explore career opportunities, tune into talks with our leaders, connect with recruiters, and more! Register today: thd.co/careerday",Home Depot,traditional
1592," As #CyberSecurityAwarenessMonth comes to an end, we want to send a big thank you to all of our cybersecurity associates! Interested in joining our cybersecurity team? Search open roles and apply today: https://thd.co/3lATIrA",Home Depot,traditional
1593," “Once our Halloween merchandise hits the floor, the whole atmosphere changes and everyone gets excited. We love decorating the store and bringing the big orange pumpkin patch to our customers!” #Orangetober",Home Depot,traditional
1594," “I used to decorate haunted houses during Halloween season and bought all the products from The Home Depot. Now that I work here,  it’s fascinating to see how these decorations come to life on our shelves behind the scenes.” #Orangetober",Home Depot,traditional
1595," Our executive vice president of US stores and international operations, Ann-Marie Campbell, was named one of Fortune’s Most Powerful Women in 2021! Listen to Ann-Marie share her exceptional career story on our “Give Me an H” podcast: https://bit.ly/3pfMNqg",Home Depot,traditional
1596, Tis the season to be ORANGE! Follow along this #Orangetober as we share the spirit of our orange-aproned associates and what it’s like to work the aisles during Halloween!,Home Depot,traditional
1597," October is #CashierAppreciationMonth! After joining The Home Depot as a cashier, Shenell worked her way up multiple leadership roles. Today she’s a district manager who leads about 1,700 associates! Take your first step by applying today: https://thd.co/2T4i9BV",Home Depot,traditional
1598," Juan Carlos, a general warehouse associate, felt homesick when he first moved to a new city. But everyone at the warehouse made him feel comfortable in his new home. #HispanicHeritageMonth",Home Depot,traditional
1599," Ann-Marie Campbell, who grew her career from part-time cashier to executive vice president of US stores and international operations, shares what she thinks makes us one of the World’s Best Employers:",Home Depot,traditional
1600," Proud to be in the top 25 of Forbes' World's Best Employers in 2021! Our Chairman and CEO, Craig Menear, says it best:",Home Depot,traditional
1601," We're welcoming associates from our stores as they join us for a virtual 8-week career exploration program through our Store Support Center! They'll spend this fall working on critical projects with our Supply Chain, Merchandising, Outside Sales & Services, and Store Ops teams to help deliver new customer and associate experiences. #ApronUp",Home Depot,traditional
1602, Paula originally joined our team looking for something temporary. Twenty years later she’s still going strong as an associate support department supervisor with her door always open to anyone on her team. #HispanicHeritageMonth,Home Depot,traditional
1603," Diana, a staff engineer on our cybersecurity team, relocated to our Atlanta headquarters from our Mexico team a few years ago. She found that both she and her heritage were respected and celebrated, making her move a seamless one. #HispanicHeritageMonth",Home Depot,traditional
1604," Julian, a design specialist at our store support center, sees #HispanicHeritageMonth as an opportunity to educate his team about the incredible diversity within the Hispanic community.",Home Depot,traditional
1605," The Home Depot is helping to educate the next generation of skilled trades professionals with free training though our Path to Pro program. Introductory training registration is now available to residents in Florida, Georgia, and Texas. Start your new career path in the trades and register today: PathtoPro.com/training",Home Depot,traditional
1606," Eladio joined The Home Depot 9 years ago. Today, he’s an operations assistant store manager and celebrates his heritage in the conversations he has with associates and customers. #HispanicHeritageMonth",Home Depot,traditional
1607," Join our Chairman and CEO, Craig Menear, for his virtual conversation with host and Scheller College of Business Dean, Maryam Alavi, on Thursday, October 14 from 5 - 6 p.m. Register and learn more: https://lnkd.in/enYsg746",Home Depot,traditional
1608," The contributions of our Hispanic associates help to strengthen our company and grow our culture every day. Follow along from September 15 to October 15 as we celebrate their voices, perspectives, and accomplishments. #HispanicHeritageMonth",Home Depot,traditional
1609," Marlin, a Historically Black College and University graduate, is a senior analyst at our store support center and credits his HBCU experience with helping him to build the skills and innovative thinking he uses in his role today. #HBCUWeek",Home Depot,traditional
1610," For the 4th year in a row, we’re proud to partner with AnitaB.org for the 2021 Grace Hopper Celebration! Visit our virtual booth this week to learn more about career opportunities on our technology team.",Home Depot,traditional
1611, Our online merchandising associates partner with merchants to drive online sales and profitability by using category and competitive analysis as well as decision support tools. Join our team: https://thd.co/2V3zzQm #TechJobs #OnlineMerchandising,Home Depot,traditional
1612, For 3 years Marquisia led our Retool Your School program by creating new ways to partner with the nation's HBCUs. Today she manages our on-campus early career strategy and works closely with HBCUs to inspire recent graduates to join our team. #HBCUWeek,Home Depot,traditional
1613," Earning an HBCU degree is a revered family tradition for Charles. He continued that legacy, and his degree paved the way for a career at 10 Fortune 500 companies and his regional VP role on our team. Read more about his exceptional journey from HBCU to orange: https://thd.co/2XavKtM #HBCUWeek",Home Depot,traditional
1614, It's National #HBCUWeek where we celebrate the institutions classified as Historically Black Colleges and Universities (HBCUs) and honor their legacy of promoting equal opportunities for high-quality education. Here's one way we're partnering with HBCUs today: https://bit.ly/2WbuxlO ,Home Depot,traditional
1615," Join us for an in-person #CareerDay with our Global IT Team. Here, you’ll have access to our biggest business challenges and global resources, and the responsibility, freedom, and support to lead and make an impact. You will have the opportunity to network and build long-term impactful relationships with our leaders, learn about our innovative projects and hear from our employees what it is like to work for one of the biggest food and beverages companies in the world. And more! You will be able to connect with our recruiters and hiring managers and have the opportunity to learn about our open positions and be interviewed for any of our open jobs that are attractive to you.",Pepsico,traditional
1616, Do you want to be a part of something big? Data Engineers like Yasemin Cengiz are doing just that at our new Digital Hubs in Barcelona and Dallas. Discover how we’re bringing together top global talent to solve tomorrow’s challenges. https://bit.ly/3bGfyb7 #pepsicolife #checkoutmyworkspace #pepsicocareers #smileatwhatsnext,Pepsico,traditional
1617," We are so excited to announce PepsiCo received the Handshake Early Talent Award this year! The award honors top employers that launch early careers with best-in-class talent engagement programs and celebrates the teams that bring early careers to new heights. We want to congratulate PepsiCo's US Campus Early Talent team, for providing a foundation for interns and students to learn, develop and explore new opportunities. We are so proud of our interns and students and how they are making real-world impacts and soaring into their careers at PepsiCo. #pepsicoproud #EarlyTalentAwards #handshake",Pepsico,traditional
1618," Diversity makes our communities and our company stronger. We’re honored to have been recognized by Seramount, part of EAB, DiversityInc and Disability:IN in for our commitment to building inclusive workplaces.",Pepsico,traditional
1619," As we work to become net zero emissions by 2040, we’re investing in clean energy. We’re proud to have been ranked number 9 on the national EPA’s Green Power Partnership list!",Pepsico,traditional
1620, Today we reported our PepsiCo Q2 2022 Earnings. Get a full breakdown here: https://pepsi.co/3RCNaqC.,Pepsico,traditional
1621," Since we launched our PepsiCo Positive transformation last year, we’ve made progress—switching to renewables, promoting regenerative agriculture, and so much more: https://pepsi.co/3NyxCk8",Pepsico,traditional
1622," We’re continuing to strengthen our presence + commitment to women’s football through our partnership with UEFA, alongside our global brands. We believe football is ‘One Game’ to be equally enjoyed by everyone.",Pepsico,traditional
