,date,year exp,score,pros,cons,position
478,2022-02-16,Current Employee,5.0,One of the best examples for a company that values the staff. Management at top-notch. Clearly have not come across any issues as of now.,No any cons from me yet,Community Content Management Specialist
479,2022-02-16,"Current Employee, more than 1 year",5.0,"Fast path, interesting projects, young team and flexibility","long working hours, bi-monthly review process",Data Analyst
480,2022-02-26,"Current Employee, more than 1 year",3.0,"Met some talented and nice colleagues, Gained general insights on frontier internet businesses","Stagnated career growth, they only want to use you to do their work, you pretty much have no time to explore and learn other skills beyond your role, No guidance from team leaders (Most people became leaders because they joined the company early...)",Strategic Analysis Manager
481,2022-02-24,"Current Employee, more than 1 year",4.0,Good development opportunities；Cows are too many people,hink of it and add it,Product Manager
482,2022-02-24,Former Employee,4.0,working evviroment in ByteDance is good,overtime work culture in ByteDance,Human Resources
483,2022-02-24,Current Employee,3.0,I'd defo say it's a place where you can grow and learn last,Toxic culture. long working hours,Project Manager
484,2022-02-23,"Former Employee, less than 1 year",4.0,People are hard working and continuing pursuing good outcomes,Super busy and less work-life balance.,Product Manager
485,2022-02-23,"Former Employee, more than 1 year",4.0,"- easy interview process, - Helpful HR, - Clarity on job to be done",- high target setting - often stretched by almost 50%,Anonymous Employee
486,2022-02-22,"Current Employee, more than 1 year",3.0,nice people and good environment!,you work even on the weekend,Content Strategist
487,2022-02-23,Current Employee,3.0,There is an environment where you are free to express your opinion.,"This company lacks great rewards and benefits for great employees. Rewards and benefits are important motivators for better results. However, many colleagues have recently left the company because this is not enough.",Designer
488,2022-02-07,Current Employee,5.0,competitive salary & good benefit for EEs,the work content is very challenging,Compensation Analyst
489,2022-02-21,Current Employee,4.0,potential to gain various industry experience and data driven,high intensity and long working hours,Anonymous Employee
490,2022-02-21,"Current Employee, more than 1 year",4.0,Nice atmosphere with nice people,Underpaid and still happy with the salary because CN team understand how hard it is,Partnerships
491,2022-02-22,"Current Employee, more than 1 year",4.0,"good , , good pay, , culture, , gifts, , overtime, , off day, , high pay","no life , , long hours, , AWful content",Customer Service Representative
492,2022-02-04,"Former Employee, more than 1 year",5.0,"good place to work, free food, nice work culture, good work life balance",nothing as of now. Learnt a lot here.,Anonymous Employee
493,2022-02-17,Former Employee,4.0,Food and environment are nice!,Overtime working is a bit frequent.,Anonymous Employee
494,2022-02-18,Current Employee,3.0,Learn a lot within the team,Job scopes keep changing within the department,Quality Assurance Analyst
495,2022-02-02,Current Employee,5.0,"more practical using hive, mySQL",OKR and some management issue,Data Analyst
496,2022-02-13,Former Employee,2.0,"talents around you, big and famous, highly paid","unfriendly working hours, and get in a wrong team",Software Engineer
497,2022-02-15,Current Employee,4.0,"1. acquire EXCEL skills,, 2. active vibe",Immaturity of the online- education sector;,Graduate Student
498,2022-02-09,"Current Employee, more than 3 years",4.0,decent salary and good benefits,always have meetings at night and work at weekend,Anonymous Employee
499,2022-01-31,"Former Employee, less than 1 year",5.0,Amazing culture and the Best organization.,There is literally no con of working for bytedance,Anonymous Employee
500,2022-02-14,"Current Employee, less than 1 year",4.0,"- Plenty of support from leads and managers, - Great colleagues, - Great place for career growth","- Lack of sufficient off days, - EPF contribution for foreign employees need to improve",Quality Assurance Analyst
501,2022-01-30,Current Employee,5.0,They are really care about their Employee,Language but they provide translator,Key Account Manager (KAM)
502,2022-02-13,"Current Employee, more than 1 year",4.0,"Great platform to learn, and will gain a great work experience","Really depends on the group, some groups and leaders are good, while some....",Management Consultant
503,2022-02-14,Current Employee,3.0,good company culture & efficient internal communications,un-qualified leaders and very junior teams,Project Manager
504,2022-02-11,"Current Employee, less than 1 year",4.0,"- Fast-paced, - Hypergrowth, - Innovative, - Good for people who are willing to sprint, but not for marathon","- Lack of transparency, - Organisation is stuck in a limbo between a start-up and scaled organisation >> Lots of processes without streamlining",Recruiter
505,2022-02-10,Current Employee,4.0,better infra for dev and ops,no pay raise in at least two years,Software Engineer
506,2022-02-08,Current Employee,3.0,move fast in product development,no time to think deep in things,Anonymous Employee
507,2022-01-26,"Current Employee, more than 3 years",5.0,"> Fast paced growth, > Inclusive Culture , > Good incentives",Some positions require shift work,Operations Team Leader
508,2022-01-26,"Current Employee, less than 1 year",5.0,"Flexible, WFH and occasion gifts",Happy so far nothing to highlight,Strategy Analyst
509,2022-02-09,Current Employee,4.0,payment is high in China,Severely work overtime; Too demanding.,Software Engineer
510,2022-01-25,"Current Employee, more than 1 year",5.0,"1. Leaders are always open to new ideas, 2. The best place to develop your career, 3. The company always provides good benefits to employees",1. Fast paced work environment needs to adapt well,Anonymous Employee
511,2022-02-09,Current Employee,4.0,"Prosperous business, great culture, inspiring colleagues","extremely long working hours, like 11am-12pm",Strategist
512,2022-02-09,"Current Employee, more than 3 years",4.0,People are nice and culture is pretty good. No office politics,Working hour is long and people kinda don't respect holidays/leaves,TPM Manager
513,2022-02-08,Current Employee,3.0,"1. high salary, 2. you can work with clever co-workers","1. too much work time, 2. low salary per hour",Senior Engineer
514,2022-02-07,"Former Employee, more than 1 year",4.0,"- Competitive package, - Brilliant co-workers, -Easy to communicate","- Long working hours, - Constant reorganizations, - Too big that you can feel so small",Product Manager
515,2022-02-07,Current Employee,4.0,no clocking in or out,Too long working hours (>10 hours),User Experience Designer
516,2022-02-08,"Former Employee, more than 1 year",4.0,"Good compensation, Talented team, Travels to HQ","Some documents in Chinese, Chaotic communication",Machine Learning Engineer
517,2022-02-05,"Former Employee, more than 1 year",3.0,"You will grow really fast, and you will meet talented people.","No work life balance., They hire way too many people, and will fire a lot after several months with some excuses.",Optimization Manager
518,2022-01-22,Current Employee,5.0,they are good in taking care their worker,"the HR might be good, but their team leads and others have different mindset.",Anonymous Employee
519,2022-02-06,Current Employee,3.0,It has a lot of good colleagues which helps me start.,low salaries in industry comparing with others.,Software Developer
520,2022-02-03,Current Employee,4.0,"Attractive salary, large scope of responsibilities, steep learning curve","No real company culture, long working hours, and the leadership team is used to creating peer pressure to obtain KPIs",Monetization Strategy
521,2022-02-04,"Current Employee, more than 1 year",4.0,"Amazing culture, good work-life balance",The situation of the app being banned in India,Anonymous Employee
522,2022-02-01,"Former Employee, less than 1 year",3.0,i think it is pretty decent,i think the workload is a little high,Business Analyst
523,2022-01-19,"Former Employee, less than 1 year",5.0,Amazing people. Excellent work culture. Great growth opportunities.,Can not think of any,Client Solutions Executive
524,2022-01-18,"Former Employee, more than 1 year",5.0,"1. New projects, thus a lot of learning, 2. Freedom to take decisions, less involvement of upper management , 3. Amazing Work Culture",1. Comparatively slow growth in the system,Key Account Manager
525,2022-01-14,"Former Employee, more than 1 year",5.0,good opportunities for new comer and,very reserve attitude regarding difficulites,Content Quality Specialist
526,2022-01-14,"Former Employee, more than 1 year",5.0,Support and opportunity for growth,Uncertainty in the directions of the team leads to many unforseen changes in working arrangements.,Risk Analyst
527,2022-01-29,Former Employee,3.0,"Company is great, very creative and full of energy",The team I am in had a weird atmosphere,Anonymous Employee
528,2022-01-14,"Current Employee, less than 1 year",5.0,Pros are the possibility of working from home and the amazing management from the headquarters in addition to lots of opportunities to grow a great career.,So far i haven't met any of the cons of working with the company.,Community Content Specialist
529,2022-01-27,Current Employee,4.0,You won't feel too much pressure working here,The salary is not that competitive,Trainer
530,2022-01-12,"Current Employee, less than 1 year",5.0,Lots of employee benefits and continuous training. Receive gift box for every occasion and sometimes even after completing a survey,Alignment changes too often thus it can be confusing,Content Moderator
531,2022-01-23,Current Employee,4.0,Lateral thinking collaborative work environments,Pay can be at times less competitive with global markets,Regional Lead
532,2022-01-25,Former Employee,4.0,"fast developing company, lots of oppotunities",organization structure not very stable,Human Resources Generalist
533,2022-01-24,"Current Employee, more than 1 year",4.0,Good supervisors helps to.score your kpi by mentoring you,No cons faces so dar,Social Media Content Moderator
534,2022-01-22,Former Employee,3.0,"Jobs are challenging, and timeline is tight",Long work hours and heavy work stress,Anonymous Employee
535,2022-01-07,Current Employee,5.0,good team members and managers; a lot learning resource.,not from my end at this moment,Anonymous Employee
536,2022-02-12,"Former Employee, more than 3 years",1.0,"Not many, only food is good","long working hours, 996, bad team leader, does not have any plans in project",Algorithm Engineer
537,2022-01-20,Current Employee,4.0,"improve morale, who does not like getting swag bags and other treats",not your typical management for social media,Team Leader
538,2022-01-05,Current Employee,5.0,"competitive salary and bonus, advanced technology","kind of tired, Powder place elimination system",Android Developer
539,2022-01-19,"Former Employee, less than 1 year",4.0,"Stressful work, often working overtime","Good company atmosphere, good working environment",Platform Engineer
540,2022-01-04,Current Employee,5.0,ideal place to work and provide growth opportunity.,Chinese origin company and banned in India.,Media -Strategic Alliances and Partnerships
541,2022-01-18,Current Employee,3.0,Great company to work at,I do not have any comment,Content Manager
542,2022-01-02,"Former Employee, more than 1 year",5.0,Best work culture I have ever worked and dreamt of.,Not an Indian based Company,Celebrity Operation Specialist
543,2022-01-16,"Current Employee, more than 1 year",4.0,Benefits and the Salary and environment.,Headcounts on the certain que or department and competitions,Content Moderator
544,2022-01-15,"Current Employee, more than 3 years",3.0,Perks and gimmicks. Competitive paygrade,Complex company’s structure. Chinese oriented. Tiny chance for career growth at some department/products.,Project Manager
545,2021-12-31,"Current Employee, more than 1 year",5.0,"Good working environment, good colleagues, on-time salary, OT provided, high insurance coverage and more",Very good management; make me want to stay in longer than I should,Content Moderator
546,2022-01-14,Current Employee,4.0,The company has a lot of good colleagues and have a chance to execute various projects,"busy with working, having a lot of overtime work.",Graphic Designer
547,2022-01-13,"Current Employee, less than 1 year",4.0,"still developing quickly, open atmosphere;",intensive internal competition and really high outcome quality requirement;,Junior Product Manager
548,2021-12-29,"Current Employee, less than 1 year",5.0,Good company and team .Amazing people!,"Everything fine ,good balance between work and life.",Content Manager
549,2021-12-27,Current Employee,5.0,Nice teamwork and Healthy diet and work with Friendly people,Highly stressful working experience and people like to competing,Software Engineer
550,2021-12-28,Current Employee,5.0,good people and good environment,long hours and bad taste,Operations Analyst
551,2021-12-26,"Former Employee, less than 1 year",5.0,A very nice place if it is your first job.,The job I was doing was quite boring and repetitive,Quality Assurance
552,2022-01-09,"Former Employee, more than 1 year",4.0,Pay is higher than market level,Too much Overtime and no training to EE at all,Anonymous Employee
553,2022-01-30,Current Employee,1.0,Nothing to say here about this company,I don't know what to count for cons,Product Manager
554,2022-01-07,"Former Employee, less than 1 year",4.0,"Great employee benefits, great facilities. Great leadership.",Bad work-life-balance. Lots of meetings. Not very attractive salary.,User Experience Designer
555,2022-01-07,"Current Employee, less than 1 year",4.0,"flexible hours, good pay, good benefits of a variety of range","occational overtime without pay, strict perf.",Compensation Analyst
556,2022-01-04,"Current Employee, more than 3 years",4.0,"Good company. Good colleagues. Yearly increments depends on your leads, , A lots of company benefits","Due to management political, we can get proper promotion, bonus or recognization.",Subject Matter Expert (SME)
557,2021-12-23,"Current Employee, more than 1 year",5.0,Employees are being well taken care. Great insurance coverage for employee + spouse + kids. No miscalculation on OT or salary. Salary is paid on time.,Nothing so far. Everything is great 👍,Content Moderator
558,2022-01-07,Current Employee,4.0,"global view and global challenges, excellent peers",high work pressure and fast paced work,Procurement
559,2022-01-07,"Current Employee, less than 1 year",2.0,Bytedance TikTok is on a hyper growth trajectory so it gives you the opportunity to learn fast,"Work culture is sick, Management is really poor, Unending working hours 12/16 hours a day, Lots of politics",Marketing
560,2021-12-20,Former Employee,5.0,#great people to work with,#I don't have any time to relax,Anonymous Employee
561,2022-01-04,"Current Employee, more than 1 year",2.0,Good salary for a mid-level engineer.,"Hard to promote., Need the Chinese language., Stressful.",Anonymous Employee
562,2021-12-20,"Current Employee, more than 1 year",5.0,"Flexibility, able to work from home due to the pandemic, Above average compensation and allowances, Multiple benefits, Career progression is quite fast","Team dynamics is a little weak, Fewer annual leave days than most companies",Quality Assurance
563,2022-01-22,"Former Employee, more than 1 year",1.0,"insurance, relative good salary and low-price drink","terrible leader, too much overwork, PIP, disgusting review",Research & Development
564,2021-12-17,Former Employee,5.0,"Work culture, Organizational culture, Gifts, Bonus","Job Stability, language barriers, transparency,",Quality Assurance
565,2021-12-31,Current Employee,4.0,it‘s a very good company,It's a little intense。 this is not too much time left for us,Front End Developer
566,2021-12-29,Current Employee,4.0,Great place to learn and to improve,Salary not high comparing to others technology companies,Content Specialist
567,2021-12-28,"Current Employee, more than 1 year",4.0,For Content Moderator they salary payment is quite good.,"No increment throughout my journey working with bytedance., Overtime has been cut off., No work life balance., When give feedback, no one listen and bother to change according to the feedback given.",Content Moderator
568,2021-12-13,Former Employee,5.0,hybrid of academic and industrial experiences,"focus on engineering more, lack academic innovations.",Student Internship
569,2021-12-25,"Current Employee, more than 1 year",4.0,"nice workplace set up, nice organization culture and competitive salary",a little bit messy of org structure,Senior Manager
570,2021-12-08,Former Employee,5.0,"Great benefits, helpful colleagues, flat management","Working stress, long working duration",Customer Success Specialist
571,2021-12-22,"Current Employee, less than 1 year",4.0,Ability to work with flexible schedule,I do not see any significant shortcomings,Front End Developer
572,2021-12-22,"Former Employee, more than 1 year",4.0,The salary given is higher than average salary. Always get gifts when it comes to celebrations day. Good environment and friends. Always care for the wellbeing of employees.,Have to work in shift rotation. The two days off day will hardly (or never) get on saturday and sunday.,Content Analyst
573,2021-12-07,"Current Employee, less than 1 year",5.0,"Fast pace growing company, with a lot of oppotunities",Work life balance could be better,Anonymous Employee
574,2021-12-07,"Current Employee, more than 1 year",5.0,"Great corporate culture, Good employee support and benefits, Fun activities, Supporting work culture","Work experience will depend on the team/projects, at some places work is good others not as good.",Curriculum Designer
575,2021-12-21,"Current Employee, more than 1 year",4.0,"Flexible timing, great team, and the learning curve are high.",Internal politics. Too many processes change at the very last minute. The rest is fine.,Ads Specialist
576,2021-12-21,Former Employee,4.0,"- modern working environment, - relatived advanced company culture (in the context of China)","- unmotivated collegues, - constantly working overtime",Operations
577,2021-12-06,"Current Employee, less than 1 year",5.0,"The growth trajectory, and therefore, career trajectory with ByteDance/TikTok is significant. The company is building a very strong, collaborative, and open culture that truly spans across countries and continents., , The work is exciting and challenging, and the leadership team is very open in communicating. , , The company is still going through its adolescence start-up phase, so somethings are not as smooth as they could be. The company is making a real investment in putting together the right tools and processes to streamline all the inefficiencies.","Working with global teams and across 12 time zones can be challenging. However, the flexibility of defining your own work hours helps alleviate a lot of the challenges.",Senior Manager
578,2021-12-05,Current Employee,5.0,pertty good experience in bytedance,has not been found so far,Backend Developer
579,2021-12-05,Current Employee,5.0,"Salary is Very Good, Good Career Development for New Employee","Rapid Expansion, Many Changes on a Daily Basis",Deep Learning Engineer
580,2021-12-19,Former Employee,4.0,"Good working environment, three meals and snacks provided, high pay","High pressure, fast pace, long working hours",Software Developer
581,2021-12-16,"Current Employee, more than 1 year",4.0,Many benefits and easy to reach different departments,The work system can be a bit complicated that you need to work overtime.,Quality Analyst
582,2021-12-17,"Current Employee, more than 1 year",4.0,"open context, quick learning, good culture",culture dilusion while expanding. slow promotion and salary raise,Anonymous Employee
583,2021-12-16,"Current Employee, less than 1 year",3.0,People are so nice !,It is kinda hard to work in only English for me.,Privacy Manager
584,2021-11-30,Former Employee,5.0,Nothing with talking about it.,Good things for everyone hoppiness.,Software Engineer
585,2021-11-30,"Current Employee, more than 1 year",5.0,"Amazing perks, and wonderful colleagues","Fast pace environment, need to deal with that",Content Moderator
586,2021-12-14,"Current Employee, more than 1 year",4.0,Do challenging things and grow your skills,"A lot of overtime, the pace of work is too fast",Computer Vision Engineer
587,2021-11-29,"Former Employee, more than 1 year",5.0,"dynamic, flat org,, younger peers,, turst-based culture","no clear bord., a little overlapped",Human Resources Business Partner HRBP
588,2021-11-23,Current Employee,5.0,very good company with fast growth opportunity,it is a little bit hard to balance work life,Human Resources Business Partner HRBP
589,2021-12-09,Current Employee,4.0,ability to work on meaningful projects as the company grows,"work life balance, complicated org structure",Anonymous Employee
590,2021-12-09,"Current Employee, less than 1 year",4.0,"great vision, high communication value, value team work, remote work","needs salary revision, better bonus structure, flexible approach in work patterns (night shift etc)",Quality Analyst
591,2021-12-09,"Current Employee, less than 1 year",4.0,Fine it was all right,Fine it could’ve been better,Content Moderator
592,2021-11-23,"Former Employee, more than 1 year",5.0,It was a great experience to be part of content and community team.,Sometimes you feel you have no time for your self.,Content & Community Manager
593,2021-12-07,Current Employee,4.0,"free working time, free breakfast/launch/dinner, great benefits","long working time, stay at company do nothing",Data Scientist
594,2021-11-23,Current Employee,5.0,provide snacks and free meal for whole day,have to work until the middle of night,Researcher
595,2021-12-06,Current Employee,4.0,"Great team culture, good working environment",Hard to raise base salary,Web Developer
596,2021-12-06,"Current Employee, more than 1 year",4.0,Equal opportunities for junior engineers. Here you can participate in challenging project and gain valuable experiences even though you lack previous relevant experience.,"Bad work-life balance, high pressure.",NLP Engineer
597,2021-12-06,Current Employee,3.0,"They offer Good benefits. Some cool, Snack boxes and gifts.",Low pay compared to others.,Quality Assurance Specialist
598,2021-11-21,"Current Employee, more than 1 year",5.0,"One of the best organization I have worked. , Good salary package and benefits for me and my family., WFH currently since DAY 1 due to MCO but always with 24x7 support by management as the Team leaders and senior agents are always there to offer help., Every occasions be it CNY, Raya, Diwali or Christmas, there are always gift box sent to our home., In overall, best place to work.",So far none that concerns me.,Content Moderator
599,2021-12-07,Former Employee,2.0,have some very interesting projects.,have very bad work-life-balance jobs.,Backend Developer
600,2021-11-17,Current Employee,5.0,"best company ever, love it",maybe the pressure or salary base,Marketing Manager
601,2021-12-06,Current Employee,3.0,good reputation from the outside,a lot of internal competitions,HR-Ops
602,2021-12-04,Former Employee,4.0,you can get in touch with anyone no matter what position he/she is in.,performance criteria is not that clear or credible.,Anonymous Employee
603,2021-12-24,"Current Employee, more than 1 year",1.0,Since i am in Dublin I do have a power to do things i want,"Totally top down approach, major decision made in China, unwilling to listen to folks in EMEA by the leadership in China , Please dont join",Operations Analyst
604,2021-11-19,Former Employee,5.0,"gut employer, high salaty, statisfy",i don´t know what to write,Anonymous Employee
605,2021-12-02,Current Employee,4.0,Good. Free meals. High pay.,Bad management. Leaders don’t know stuff.,Project Manager
606,2021-12-02,Current Employee,4.0,"culture , good perks and employee benefits",working hours are too long,Product Manager
607,2021-12-01,Current Employee,4.0,I like the culture and values,the working time longer than necessary,ECommerce Specialist
608,2021-11-16,"Current Employee, less than 1 year",5.0,"Often need to work overtime, serious overtime","Good company environment, good atmosphere, positive corporate culture",Human Resources Assistant
609,2021-11-28,Current Employee,4.0,"Flexible working hours., Free food and snack, Free Gym","Long working hours, Inside rolling, Fast working pace, Always changes",Privacy Program Manager
610,2021-11-22,Current Employee,4.0,learn a lot and interesting,work a lot and tired,Anonymous Employee
611,2021-11-22,"Current Employee, more than 1 year",4.0,"1. Flat Structure- You can reach out to anyone and everyone in the organisation without any fear. , 2. Great Work life balance, 3. Nil micro management, 4. Dynamic environment, 5. Several employee benefits","1. Communication gap with cross border teams, 2. Many updates are not informed on time so that one can take timely actions.",User Operations Specialist
612,2021-11-07,"Current Employee, more than 3 years",5.0,"Good payment, innovation, free thinking, Good opportunity, potential IPO",time difference with teammates in China,Principal Engineer
613,2021-11-10,"Current Employee, more than 1 year",5.0,"Best company to work at in terms of work culture, great benefits provided.",Couldn't find any when I was working with them,Content Operations Specialist
614,2021-11-09,Former Employee,5.0,They value their employees with benefits and rewards.,Company politics and favoritism hampers employee growth.,Content Reviewer
615,2021-11-09,Former Employee,5.0,"Everything about this company, Im love with Bytedance, it's unfortunate what happened with us in India, I would love to rejoin of I get a chance, it's like dream come true, good lifestyle, good money, good colleague, good office, fancy work ethic,",None I can't even think of any,Executive Producer
616,2021-11-22,"Current Employee, more than 1 year",4.0,Company provide all the good benefits to grow and learn.,Multilevel Communication for work and Regulations,Quality Assurance Analyst
617,2021-11-21,Current Employee,4.0,pay and benefit is good,"Hard to get promoted, stressful work and high intensity",Data Scientist
618,2021-11-19,"Current Employee, less than 1 year",4.0,"1.higher pay than others, 2.nice peers","1.Too much working ours, 2.Not good upper",Software Engineer
619,2021-11-18,Current Employee,4.0,Lots of oppoturnity. Global business,Extra work. Others are fine.,Game Project Manager
620,2021-11-18,"Current Employee, more than 3 years",3.0,"Hyper growth , Business driven moving fast","Poor work life balance, Bad Engineering Culture",Senior Software Engineer
621,2021-11-16,"Current Employee, more than 1 year",4.0,"Salary, Gifts, Wellness activities, Working hours",Don't see any disadvantages for now,Ads Specialist
622,2021-11-14,"Former Employee, more than 1 year",4.0,Open culture and transparent policies,Growth is limited in some teams,Software Development Engineer (SDE1)
623,2021-11-14,Current Employee,4.0,many gifts on various occasions,they preferred to recruit manager from outside rather than trusting the loyal employee to get higher position,Risk Investigation Specialist
624,2021-11-12,Current Employee,3.0,I learned alot nice experience,"too much work, tired and dispressing",Data Analyst
625,2021-10-28,Current Employee,5.0,good benefits and strong technical atmosphere,work long time and fierce competition,Data and Algorithm Engineer
626,2021-11-11,"Current Employee, more than 1 year",4.0,"- Company Benefits, - Easy Work, - Does not require skills","- Does not require skills so you cannot learn something new, - High work pressure, - Whole day video reviewing",Quality Analyst
627,2021-11-10,"Current Employee, more than 1 year",3.0,"Free snacks, salary above average, fun colleagues and nice working environment. , Company also love giving out goodies for employees during Work from home","Due to supporting EU market, always need to work graveyard shift hour -- which is understandable , , Sadly, poor management, always changing Moderator KPI calculation. Been working late night graveyard shift for straight 2-3 consecutive months. Often times, mod feels like being thrown around",Content Moderator
628,2021-10-25,Current Employee,5.0,Company cover almost everything. Its good to work there,Hard to get more salary,Search Operation Specialist
629,2021-11-08,Current Employee,4.0,"a young, active and fun place","sometimes stressful, everything relay on performance rating",Data Scientist
630,2021-11-09,"Former Employee, more than 3 years",4.0,work style: effecient and effective,"overtime work, may not go public in a period",Software Engineer
631,2021-10-21,"Former Employee, less than 1 year",5.0,"Flat, Efficient Team, Nice Mean","Too much work, Not much research",Summer Intern
632,2021-10-21,"Former Employee, more than 1 year",5.0,"very open culture, good mentor, a lot chances for a fresh man",struggled in work life balance,Anonymous Employee
633,2021-10-20,Former Employee,5.0,"great people, hard working with lots of swags",long working hour with different time zone,Marketing
634,2021-10-21,"Current Employee, more than 1 year",5.0,Easy task where you only analysts videos or audios from platform. You only work at workplace and no follow up cases. Stress free job with good managers. Chances to grow in career is alot.,Minimum task to expand your skills and knowledge.,Content Review Analyst
635,2021-10-15,"Current Employee, less than 1 year",5.0,good environment and nice team morale to work with,sensitive contents regarding sino-us realtions,Anonymous Employee
636,2021-11-02,"Current Employee, less than 1 year",3.0,Grow extremely quick which is a good thing,You might not be needed after things are optimized,Anonymous Employee
637,2021-10-19,Current Employee,5.0,Amazing company...I really liked everything how they care and love their employees. It's amazing experience to work with Bytedance. Dream company,"No promotion, no salary hike, No tours",Content Moderator
638,2021-10-19,Current Employee,5.0,no limits to your work scope if you can manage to validify it,no clear career path provided by the company,English Language Improvement Advisor
639,2021-10-30,"Current Employee, more than 1 year",3.0,Stock appreciation. Many opportunities to apply research,Wlb is not great. Late night meetings.,Research Scientist
640,2021-11-01,"Former Employee, less than 1 year",3.0,"-great benefits, -flat structure, -hands-on a lot of projects even when you are new","-always overtime, -not much training, -stressful environment",Anonymous Employee
641,2021-11-02,"Current Employee, less than 1 year",3.0,"good food, good relationship with coworkers",many work to do even as an intern,Software Engineer(Internship)
642,2021-10-31,"Current Employee, more than 1 year",4.0,"The organisation treats you like company, not talking about employees.",Lack of opportunities in the organisation,Content Moderation
643,2021-10-27,"Former Employee, more than 3 years",2.0,"- Interesting work, - Good colleagues , - Dynamic work environment","- The company's core values are just for show. They don't actually care, - Work-life balance is horrible. You are expected to be on call 24-hours a day no matter what , - HR is ill-equipped to deal with any major issues including racism and harassment. The HR Personelle at ByteDance is among the worst I have ever had to deal with , - There is zero accountability. Managers get away with a lot of things , - There are a lot of underhanded things going on. Zero transparency and professional work ethic",Anonymous Employee
644,2021-10-30,"Current Employee, less than 1 year",3.0,You really have the chance to do whatever you want,"As you can do anything, there is no guarantee you're doing the right thing",CUSTOMER SOLUTION ENGINEER
645,2021-10-28,"Current Employee, less than 1 year",4.0,"1) Growth+++, 2) Tech is great, 3) Many smart & young people in general, 4) Global company, great opportunity to work in a multicultural environment, 5) Pay well if you negotiate well, 6) Agile and strategy adjust well with the market outlook","1) Heavily influenced by Chinese culture, so for you who are not used to it, better look out before joining., 2) Heavy workload, no work-life balance. If you're looking for one better not take the job., 3) Global company, so have to have meeting out of normal office hours to suit your counterpart",Product Operations Manager
646,2021-10-27,Former Employee,4.0,"god, good food, good environment fast paced","stressful, anxious, fast paced and have extra works",Intern
647,2021-10-27,"Current Employee, more than 8 years",3.0,Do not have any pros,Less job opportunity for the foreginer who based in China,User Operations Associate
648,2021-10-12,Former Employee,5.0,Great for benefits and excellent for working.,I think there is nothing to talk about,Anonymous Employee
649,2021-10-26,"Current Employee, more than 1 year",4.0,Flexible working hours and team work,Payment gets delayed quite a few times,PRO Producer
650,2021-10-11,Current Employee,5.0,Pay attention to employees needs/wants,Couldn't think of any so far,Content Moderator
651,2021-10-11,"Current Employee, more than 1 year",5.0,A lot of benefits for the employees.,Fast pacing community. Changes is the only constant in here.,Content Moderator
652,2021-10-25,"Former Employee, less than 1 year",4.0,"high salary, good working environment",need to overtime a lot,Anonymous Employee
653,2021-10-10,"Former Employee, less than 1 year",5.0,"Offering free meals (breakfast, launch, dinner)",working 6 days a week 10105.5,Intern
654,2021-10-10,"Former Employee, less than 1 year",5.0,Techinical strong team especially through algorithm and engineers,Relative large work pressure duing working days,Data Science Intern
655,2021-10-09,"Current Employee, less than 1 year",5.0,"- A lot of gifts, - Bonuses, - Insurance benefits, - Allowance","No cons, everything was good",Content Moderator
656,2021-10-24,"Current Employee, more than 1 year",2.0,"Annual bonus, monthly bonus, Allowance of optical, dental, body check","Never get into the company with internal selection, ur salary will be raise very slow and below market price with a huge range even u contribute an excellent performance. HR is more prefer on recruiting external worker with less ability and give them high paid",Social Media Content Moderator
657,2021-10-08,"Current Employee, more than 1 year",5.0,International friendly with perfect colleage,"poor location, poor augmentation in salary",Machine Learning Engineer
658,2021-10-07,"Former Employee, more than 1 year",5.0,"Good workingn environment, benefit package, office culture.","24/7 rotational shift basis. Sometimes, wfm changes like schedule is confusing or too abrupt",Content Moderator
659,2021-10-06,Current Employee,5.0,"Send gifts every month, Openwork culture , Exposure to all the departments, Startup culture , rocket speed","Lack of transparency, still structuring and fixing departments",Advertising Quality Manager
660,2021-10-06,"Former Employee, less than 1 year",5.0,"- A lot of young people work here so the culture is very vibrant, - Good infrastructure, - Good pay, - Entry-level engineers can still work on important tasks that make an impact, - A good learning experience for entry-level engineers, - Coworkers are very supportive and some of the smartest people work here","- Long work hours, usually very busy",Software Engineer
661,2021-10-20,"Former Employee, more than 1 year",4.0,"Good salary, Employee benefits, Gifts on almost every occasion","Management not good., Only judge employees on numbers and not on quality.",Subject Matter Expert (SME)
662,2021-10-05,Former Employee,5.0,Great company and environment and people,Working hours too long and a lot of pressure,Payment Manager
663,2021-10-06,Former Employee,5.0,practical skills in communication and quantitative analysis,time conflicts on some projects,Business Analyst
664,2021-10-04,"Current Employee, more than 1 year",5.0,"The way employees are treated with utmost care, Handsome Reward and recognitions are paid for achivements, Culture is just too too good, Nice place to explore new opportunities and grow in your career","Nothing as such, great place overall.",Payroll Analyst
665,2021-10-04,Former Employee,5.0,good good good good good,nope nope nope nope nope,Software Engineer
666,2021-10-03,"Former Employee, more than 1 year",5.0,"- Great Scope with big opportunities, - Fast pace, really fast, - Diverse and international",- work extra hours to accommodate an international team,Anonymous Employee
667,2021-10-17,Current Employee,4.0,"promising business, good tech, flat hierarchy","bad wlb, really tired and hard to promotion",Data Analyst
668,2021-10-01,Former Employee,5.0,It provides a big platform,The workload is a little heavy,Data Engineer
669,2021-10-16,"Current Employee, more than 3 years",4.0,Many new business in development,Not employee friendly and long working hour,Director
